Cycle,Body,x,y,vx,vy
38,2,2.000031,2.000031,0.000034,0.000034
38,3,2.999954,2.999954,-0.000050,-0.000050
39,1,0.000016,0.000016,0.000017,0.000017
39,2,2.000033,2.000033,0.000035,0.000035
39,3,2.999951,2.999951,-0.000051,-0.000051
40,1,0.000017,0.000017,0.000017,0.000017
40,2,2.000035,2.000035,0.000035,0.000035
40,3,2.999949,2.999949,-0.000052,-0.000052
41,1,0.000017,0.000017,0.000017,0.000017
41,2,2.000036,2.000036,0.000036,0.000036
41,3,2.999946,2.999946,-0.000054,-0.000054
42,1,0.000018,0.000018,0.000018,0.000018
42,2,2.000038,2.000038,0.000037,0.000037
42,3,2.999944,2.999944,-0.000055,-0.000055
43,1,0.000019,0.000019,0.000018,0.000018
43,2,2.000040,2.000040,0.000038,0.000038
43,3,2.999941,2.999941,-0.000056,-0.000056
44,1,0.000020,0.000020,0.000019,0.000019
44,2,2.000042,2.000042,0.000039,0.000039
44,3,2.999938,2.999938,-0.000058,-0.000058
45,1,0.000021,0.000021,0.000019,0.000019
45,2,2.000044,2.000044,0.000040,0.000040
45,3,2.999935,2.999935,-0.000059,-0.000059
46,1,0.000022,0.000022,0.000020,0.000020
46,2,2.000046,2.000046,0.000041,0.000041
46,3,2.999932,2.999932,-0.000060,-0.000060
47,1,0.000023,0.000023,0.000020,0.000020
47,2,2.000048,2.000048,0.000042,0.000042
47,3,2.999929,2.999929,-0.000062,-0.000062
48,1,0.000024,0.000024,0.000020,0.000020
48,2,2.000050,2.000050,0.000042,0.000042
48,3,2.999926,2.999926,-0.000063,-0.000063
49,1,0.000025,0.000025,0.000021,0.000021
49,2,2.000052,2.000052,0.000043,0.000043
49,3,2.999923,2.999923,-0.000064,-0.000064
50,1,0.000026,0.000026,0.000021,0.000021
50,2,2.000054,2.000054,0.000044,0.000044
50,3,2.999920,2.999920,-0.000066,-0.000066
51,1,0.000027,0.000027,0.000022,0.000022
51,2,2.000056,2.000056,0.000045,0.000045
51,3,2.999916,2.999916,-0.000067,-0.000067
52,1,0.000028,0.000028,0.000022,0.000022
52,2,2.000059,2.000059,0.000046,0.000046
52,3,2.999913,2.999913,-0.000068,-0.000068
53,1,0.000029,0.000029,0.000023,0.000023
53,2,2.000061,2.000061,0.000047,0.000047
53,3,2.999910,2.999910,-0.000069,-0.000069
54,1,0.000030,0.000030,0.000023,0.000023
54,2,2.000063,2.000063,0.000048,0.000048
54,3,2.999906,2.999906,-0.000071,-0.000071
55,1,0.000032,0.000032,0.000023,0.000023
55,2,2.000066,2.000066,0.000049,0.000049
55,3,2.999903,2.999903,-0.000072,-0.000072
56,1,0.000033,0.000033,0.000024,0.000024
56,2,2.000068,2.000068,0.000050,0.000050
56,3,2.999899,2.999899,-0.000073,-0.000073
57,1,0.000034,0.000034,0.000024,0.000024
57,2,2.000071,2.000071,0.000050,0.000050
57,3,2.999895,2.999895,-0.000075,-0.000075
58,1,0.000035,0.000035,0.000025,0.000025
58,2,2.000073,2.000073,0.000051,0.000051
58,3,2.999892,2.999892,-0.000076,-0.000076
59,1,0.000036,0.000036,0.000025,0.000025
59,2,2.000076,2.000076,0.000052,0.000052
59,3,2.999888,2.999888,-0.000077,-0.000077
60,1,0.000038,0.000038,0.000026,0.000026
60,2,2.000078,2.000078,0.000053,0.000053
60,3,2.999884,2.999884,-0.000079,-0.000079
61,1,0.000039,0.000039,0.000026,0.000026
61,2,2.000081,2.000081,0.000054,0.000054
61,3,2.999880,2.999880,-0.000080,-0.000080
62,1,0.000040,0.000040,0.000026,0.000026
62,2,2.000084,2.000084,0.000055,0.000055
62,3,2.999876,2.999876,-0.000081,-0.000081
63,1,0.000042,0.000042,0.000027,0.000027
63,2,2.000086,2.000086,0.000056,0.000056
63,3,2.999872,2.999872,-0.000083,-0.000083
64,1,0.000043,0.000043,0.000027,0.000027
64,2,2.000089,2.000089,0.000057,0.000057
64,3,2.999868,2.999868,-0.000084,-0.000084
65,1,0.000044,0.000044,0.000028,0.000028
65,2,2.000092,2.000092,0.000058,0.000058
65,3,2.999864,2.999864,-0.000085,-0.000085
66,1,0.000046,0.000046,0.000028,0.000028
66,2,2.000095,2.000095,0.000058,0.000058
66,3,2.999859,2.999859,-0.000087,-0.000087
67,1,0.000047,0.000047,0.000029,0.000029
67,2,2.000098,2.000098,0.000059,0.000059
67,3,2.999855,2.999855,-0.000088,-0.000088
68,1,0.000049,0.000049,0.000029,0.000029
68,2,2.000101,2.000101,0.000060,0.000060
68,3,2.999851,2.999851,-0.000089,-0.000089
69,1,0.000050,0.000050,0.000029,0.000029
69,2,2.000104,2.000104,0.000061,0.000061
69,3,2.999846,2.999846,-0.000090,-0.000090
70,1,0.000051,0.000051,0.000030,0.000030
70,2,2.000107,2.000107,0.000062,0.000062
70,3,2.999842,2.999842,-0.000092,-0.000092
71,1,0.000053,0.000053,0.000030,0.000030
71,2,2.000110,2.000110,0.000063,0.000063
71,3,2.999837,2.999837,-0.000093,-0.000093
72,1,0.000054,0.000054,0.000031,0.000031
72,2,2.000113,2.000113,0.000064,0.000064
72,3,2.999832,2.999832,-0.000094,-0.000094
73,1,0.000056,0.000056,0.000031,0.000031
73,2,2.000116,2.000116,0.000065,0.000065
73,3,2.999828,2.999828,-0.000096,-0.000096
74,1,0.000058,0.000058,0.000032,0.000032
74,2,2.000120,2.000120,0.000065,0.000065
74,3,2.999823,2.999823,-0.000097,-0.000097
75,1,0.000059,0.000059,0.000032,0.000032
75,2,2.000123,2.000123,0.000066,0.000066
75,3,2.999818,2.999818,-0.000098,-0.000098
76,1,0.000061,0.000061,0.000032,0.000032
76,2,2.000126,2.000126,0.000067,0.000067
76,3,2.999813,2.999813,-0.000100,-0.000100
77,1,0.000062,0.000062,0.000033,0.000033
77,2,2.000129,2.000129,0.000068,0.000068
77,3,2.999808,2.999808,-0.000101,-0.000101
78,1,0.000064,0.000064,0.000033,0.000033
78,2,2.000133,2.000133,0.000069,0.000069
78,3,2.999803,2.999803,-0.000102,-0.000102
79,1,0.000066,0.000066,0.000034,0.000034
79,2,2.000136,2.000136,0.000070,0.000070
79,3,2.999798,2.999798,-0.000104,-0.000104
80,1,0.000067,0.000067,0.000034,0.000034
80,2,2.000140,2.000140,0.000071,0.000071
80,3,2.999793,2.999793,-0.000105,-0.000105
81,1,0.000069,0.000069,0.000035,0.000035
81,2,2.000143,2.000143,0.000072,0.000072
81,3,2.999788,2.999788,-0.000106,-0.000106
82,1,0.000071,0.000071,0.000035,0.000035
82,2,2.000147,2.000147,0.000073,0.000073
82,3,2.999782,2.999782,-0.000108,-0.000108
83,1,0.000072,0.000072,0.000035,0.000035
83,2,2.000151,2.000151,0.000073,0.000073
83,3,2.999777,2.999777,-0.000109,-0.000109
84,1,0.000074,0.000074,0.000036,0.000036
84,2,2.000154,2.000154,0.000074,0.000074
84,3,2.999771,2.999771,-0.000110,-0.000110
85,1,0.000076,0.000076,0.000036,0.000036
85,2,2.000158,2.000158,0.000075,0.000075
85,3,2.999766,2.999766,-0.000111,-0.000111
86,1,0.000078,0.000078,0.000037,0.000037
86,2,2.000162,2.000162,0.000076,0.000076
86,3,2.999760,2.999760,-0.000113,-0.000113
87,1,0.000080,0.000080,0.000037,0.000037
87,2,2.000166,2.000166,0.000077,0.000077
87,3,2.999755,2.999755,-0.000114,-0.000114
88,1,0.000082,0.000082,0.000037,0.000037
88,2,2.000169,2.000169,0.000078,0.000078
88,3,2.999749,2.999749,-0.000115,-0.000115
89,1,0.000083,0.000083,0.000038,0.000038
89,2,2.000173,2.000173,0.000079,0.000079
89,3,2.999743,2.999743,-0.000117,-0.000117
90,1,0.000085,0.000085,0.000038,0.000038
90,2,2.000177,2.000177,0.000080,0.000080
90,3,2.999737,2.999737,-0.000118,-0.000118
91,1,0.000087,0.000087,0.000039,0.000039
91,2,2.000181,2.000181,0.000081,0.000081
91,3,2.999732,2.999732,-0.000119,-0.000119
92,1,0.000089,0.000089,0.000039,0.000039
92,2,2.000185,2.000185,0.000081,0.000081
92,3,2.999726,2.999726,-0.000121,-0.000121
93,1,0.000091,0.000091,0.000040,0.000040
93,2,2.000189,2.000189,0.000082,0.000082
93,3,2.999720,2.999720,-0.000122,-0.000122
94,1,0.000093,0.000093,0.000040,0.000040
94,2,2.000193,2.000193,0.000083,0.000083
94,3,2.999713,2.999713,-0.000123,-0.000123
95,1,0.000095,0.000095,0.000040,0.000040
95,2,2.000198,2.000198,0.000084,0.000084
95,3,2.999707,2.999707,-0.000125,-0.000125
96,1,0.000097,0.000097,0.000041,0.000041
96,2,2.000202,2.000202,0.000085,0.000085
96,3,2.999701,2.999701,-0.000126,-0.000126
97,1,0.000099,0.000099,0.000041,0.000041
97,2,2.000206,2.000206,0.000086,0.000086
97,3,2.999695,2.999695,-0.000127,-0.000127
98,1,0.000101,0.000101,0.000042,0.000042
98,2,2.000210,2.000210,0.000087,0.000087
98,3,2.999688,2.999688,-0.000129,-0.000129
99,1,0.000103,0.000103,0.000042,0.000042
99,2,2.000215,2.000215,0.000088,0.000088
99,3,2.999682,2.999682,-0.000130,-0.000130
100,1,0.000105,0.000105,0.000043,0.000043
100,2,2.000219,2.000219,0.000089,0.000089
100,3,2.999675,2.999675,-0.000131,-0.000131
101,1,0.000108,0.000108,0.000043,0.000043
101,2,2.000223,2.000223,0.000089,0.000089
101,3,2.999669,2.999669,-0.000132,-0.000132
102,1,0.000110,0.000110,0.000043,0.000043
102,2,2.000228,2.000228,0.000090,0.000090
102,3,2.999662,2.999662,-0.000134,-0.000134
103,1,0.000112,0.000112,0.000044,0.000044
103,2,2.000232,2.000232,0.000091,0.000091
103,3,2.999656,2.999656,-0.000135,-0.000135
104,1,0.000114,0.000114,0.000044,0.000044
104,2,2.000237,2.000237,0.000092,0.000092
104,3,2.999649,2.999649,-0.000136,-0.000136
105,1,0.000116,0.000116,0.000045,0.000045
105,2,2.000242,2.000242,0.000093,0.000093
105,3,2.999642,2.999642,-0.000138,-0.000138
106,1,0.000119,0.000119,0.000045,0.000045
106,2,2.000246,2.000246,0.000094,0.000094
106,3,2.999635,2.999635,-0.000139,-0.000139
107,1,0.000121,0.000121,0.000046,0.000046
107,2,2.000251,2.000251,0.000095,0.000095
107,3,2.999628,2.999628,-0.000140,-0.000140
108,1,0.000123,0.000123,0.000046,0.000046
108,2,2.000256,2.000256,0.000096,0.000096
108,3,2.999621,2.999621,-0.000142,-0.000142
109,1,0.000125,0.000125,0.000046,0.000046
109,2,2.000260,2.000260,0.000097,0.000097
109,3,2.999614,2.999614,-0.000143,-0.000143
110,1,0.000128,0.000128,0.000047,0.000047
110,2,2.000265,2.000265,0.000097,0.000097
110,3,2.999607,2.999607,-0.000144,-0.000144
111,1,0.000130,0.000130,0.000047,0.000047
111,2,2.000270,2.000270,0.000098,0.000098
111,3,2.999600,2.999600,-0.000146,-0.000146
112,1,0.000132,0.000132,0.000048,0.000048
112,2,2.000275,2.000275,0.000099,0.000099
112,3,2.999592,2.999592,-0.000147,-0.000147
113,1,0.000135,0.000135,0.000048,0.000048
113,2,2.000280,2.000280,0.000100,0.000100
113,3,2.999585,2.999585,-0.000148,-0.000148
114,1,0.000137,0.000137,0.000049,0.000049
114,2,2.000285,2.000285,0.000101,0.000101
114,3,2.999578,2.999578,-0.000150,-0.000150
115,1,0.000140,0.000140,0.000049,0.000049
115,2,2.000290,2.000290,0.000102,0.000102
115,3,2.999570,2.999570,-0.000151,-0.000151
116,1,0.000142,0.000142,0.000049,0.000049
116,2,2.000295,2.000295,0.000103,0.000103
116,3,2.999563,2.999563,-0.000152,-0.000152
117,1,0.000145,0.000145,0.000050,0.000050
117,2,2.000300,2.000300,0.000104,0.000104
117,3,2.999555,2.999555,-0.000153,-0.000153
118,1,0.000147,0.000147,0.000050,0.000050
118,2,2.000306,2.000306,0.000104,0.000104
118,3,2.999547,2.999547,-0.000155,-0.000155
119,1,0.000150,0.000150,0.000051,0.000051
119,2,2.000311,2.000311,0.000105,0.000105
119,3,2.999540,2.999540,-0.000156,-0.000156
120,1,0.000152,0.000152,0.000051,0.000051
120,2,2.000316,2.000316,0.000106,0.000106
120,3,2.999532,2.999532,-0.000157,-0.000157
121,1,0.000155,0.000155,0.000052,0.000052
121,2,2.000321,2.000321,0.000107,0.000107
121,3,2.999524,2.999524,-0.000159,-0.000159
122,1,0.000157,0.000157,0.000052,0.000052
122,2,2.000327,2.000327,0.000108,0.000108
122,3,2.999516,2.999516,-0.000160,-0.000160
123,1,0.000160,0.000160,0.000052,0.000052
123,2,2.000332,2.000332,0.000109,0.000109
123,3,2.999508,2.999508,-0.000161,-0.000161
124,1,0.000162,0.000162,0.000053,0.000053
124,2,2.000338,2.000338,0.000110,0.000110
124,3,2.999500,2.999500,-0.000163,-0.000163
125,1,0.000165,0.000165,0.000053,0.000053
125,2,2.000343,2.000343,0.000111,0.000111
125,3,2.999492,2.999492,-0.000164,-0.000164
126,1,0.000168,0.000168,0.000054,0.000054
126,2,2.000349,2.000349,0.000112,0.000112
126,3,2.999484,2.999484,-0.000165,-0.000165
127,1,0.000170,0.000170,0.000054,0.000054
127,2,2.000354,2.000354,0.000112,0.000112
127,3,2.999475,2.999475,-0.000167,-0.000167
128,1,0.000173,0.000173,0.000055,0.000055
128,2,2.000360,2.000360,0.000113,0.000113
128,3,2.999467,2.999467,-0.000168,-0.000168
129,1,0.000176,0.000176,0.000055,0.000055
129,2,2.000365,2.000365,0.000114,0.000114
129,3,2.999459,2.999459,-0.000169,-0.000169
130,1,0.000179,0.000179,0.000055,0.000055
130,2,2.000371,2.000371,0.000115,0.000115
130,3,2.999450,2.999450,-0.000171,-0.000171
131,1,0.000181,0.000181,0.000056,0.000056
131,2,2.000377,2.000377,0.000116,0.000116
131,3,2.999442,2.999442,-0.000172,-0.000172
132,1,0.000184,0.000184,0.000056,0.000056
132,2,2.000383,2.000383,0.000117,0.000117
132,3,2.999433,2.999433,-0.000173,-0.000173
133,1,0.000187,0.000187,0.000057,0.000057
133,2,2.000389,2.000389,0.000118,0.000118
133,3,2.999424,2.999424,-0.000174,-0.000174
134,1,0.000190,0.000190,0.000057,0.000057
134,2,2.000394,2.000394,0.000119,0.000119
134,3,2.999416,2.999416,-0.000176,-0.000176
135,1,0.000193,0.000193,0.000058,0.000058
135,2,2.000400,2.000400,0.000120,0.000120
135,3,2.999407,2.999407,-0.000177,-0.000177
136,1,0.000196,0.000196,0.000058,0.000058
136,2,2.000406,2.000406,0.000120,0.000120
136,3,2.999398,2.999398,-0.000178,-0.000178
137,1,0.000198,0.000198,0.000058,0.000058
137,2,2.000412,2.000412,0.000121,0.000121
137,3,2.999389,2.999389,-0.000180,-0.000180
138,1,0.000201,0.000201,0.000059,0.000059
138,2,2.000418,2.000418,0.000122,0.000122
138,3,2.999380,2.999380,-0.000181,-0.000181
139,1,0.000204,0.000204,0.000059,0.000059
139,2,2.000425,2.000425,0.000123,0.000123
139,3,2.999371,2.999371,-0.000182,-0.000182
140,1,0.000207,0.000207,0.000060,0.000060
140,2,2.000431,2.000431,0.000124,0.000124
